Result 1:
t = 0.000000 c.	 Tk = 0.000000000000000000 c.
t = 0.050000 c.	 Tk = 0.000000012936879171 c.
t = 0.100000 c.	 Tk = 0.000000024039748845 c.
t = 0.150000 c.	 Tk = 0.000000033763855359 c.
t = 0.200000 c.	 Tk = 0.000000042435402217 c.
t = 0.250000 c.	 Tk = 0.000000050291399570 c.
t = 0.300000 c.	 Tk = 0.000000058685857785 c.
t = 0.350000 c.	 Tk = 0.000000065249888279 c.
t = 0.400000 c.	 Tk = 0.000000068672369737 c.
t = 0.450000 c.	 Tk = 0.000000071721270628 c.
t = 0.500000 c.	 Tk = 0.000000074455959291 c.
t = 0.550000 c.	 Tk = 0.000000074455959291 c.
t = 0.600000 c.	 Tk = 0.000000074455959291 c.
t = 0.650000 c.	 Tk = 0.000000074455959291 c.
t = 0.700000 c.	 Tk = 0.000000074455959291 c.
t = 0.750000 c.	 Tk = 0.000000074455959291 c.
t = 0.800000 c.	 Tk = 0.000000074455959291 c.
t = 0.850000 c.	 Tk = 0.000000074455959291 c.
t = 0.900000 c.	 Tk = 0.000000074455959291 c.
t = 0.950000 c.	 Tk = 0.000000074455959291 c.
t = 1.000000 c.	 Tk = 0.000000074455959291 c.
